'L,MFG','L,PreSMA','L,SMG','L,PreCu','L,RSC','L,pACC','L,pMCC','L,aINS','R,MFG','R,PreSMA','R,SMG','R,PreCu','R,RSC','R,pACC','R,pMCC','R,aINS','L,BG','L,Thal','R,BG','R,Thal','L,MTJ','R,MTJ','rPons','cPons','L,DentN','R,DentN','Vermis'
1.02,1.92,0.36,1.69,0.95,1.65,0.94,2.12,1.03,1.50,0.00,1.80,1.00,1.58,1.03,2.74,2.39,1.50,1.61,0.88,2.60,2.35,1.71,1.94,1.71,1.80,1.21
2.06,4.16,0.74,0.34,0.59,3.71,1.75,2.30,2.20,2.92,1.80,0.00,0.77,3.26,2.53,2.75,2.05,1.19,1.57,0.04,2.99,1.65,1.68,1.64,1.29,2.00,0.57
1.60,2.42,2.24,-0.02,2.27,3.04,0.31,1.46,1.88,3.02,1.00,0.77,0.00,2.57,0.22,1.36,0.43,0.16,0.65,0.09,0.34,0.84,0.47,0.72,0.47,-0.42,-0.49
0.58,0.30,2.06,3.12,3.19,-0.15,2.66,0.42,-0.39,0.49,1.58,3.26,2.57,0.00,2.38,1.47,1.47,2.52,1.12,2.72,2.22,3.30,2.90,1.35,1.02,1.89,1.07
2.27,3.23,2.03,1.94,0.93,2.36,1.45,2.56,1.01,2.73,1.03,2.53,0.22,2.38,0.00,2.86,2.43,1.67,1.91,1.63,2.70,2.76,0.63,2.06,1.90,1.60,1.89
2.41,3.33,2.21,2.74,1.30,1.05,3.26,2.00,2.06,2.10,2.74,2.75,1.36,1.47,2.86,0.00,0.68,2.02,0.93,1.28,1.70,1.39,0.72,0.84,-0.35,-0.09,0.34
1.06,3.59,3.26,2.40,0.79,1.55,2.07,2.40,1.51,2.94,2.39,2.05,0.43,1.47,2.43,0.68,0.00,1.83,2.14,0.77,2.08,2.87,0.76,1.29,0.55,0.76,0.08
1.47,2.62,2.03,0.80,1.11,3.53,0.94,2.61,1.20,3.90,1.50,1.19,0.16,2.52,1.67,2.02,1.83,0.00,2.62,1.90,2.03,3.01,0.51,1.40,0.16,0.33,0.38
2.02,2.79,3.75,1.84,1.25,1.07,1.93,1.70,1.19,1.65,1.61,1.57,0.65,1.12,1.91,0.93,2.14,2.62,0.00,1.45,1.87,2.99,1.01,1.27,1.08,1.41,0.12
0.09,2.97,2.03,0.31,0.89,2.66,0.40,3.10,0.65,3.46,0.88,0.04,0.09,2.72,1.63,1.28,0.77,1.90,1.45,0.00,2.37,3.60,-0.39,0.48,-0.32,0.28,-0.54
2.93,3.78,3.02,2.16,1.76,3.08,1.78,3.09,1.88,2.94,2.60,2.99,0.34,2.22,2.70,1.70,2.08,2.03,1.87,2.37,0.00,0.37,1.94,1.27,0.91,1.41,1.58
2.44,3.20,3.21,2.24,2.44,2.90,2.04,3.90,2.31,3.53,2.35,1.65,0.84,3.30,2.76,1.39,2.87,3.01,2.99,3.60,0.37,0.00,1.08,1.11,0.71,0.81,1.73
1.40,0.98,2.76,2.50,1.62,1.81,0.46,2.32,1.50,2.57,1.71,1.68,0.47,2.90,0.63,0.72,0.76,0.51,1.01,-0.39,1.94,1.08,0.00,0.03,0.91,0.09,0.53
1.81,0.98,3.72,3.07,1.03,2.42,1.80,2.22,1.40,2.37,1.94,1.64,0.72,1.35,2.06,0.84,1.29,1.40,1.27,0.48,1.27,1.11,0.03,0.00,-0.09,-0.06,-0.14
0.69,0.30,3.27,2.22,0.69,1.45,1.52,1.45,0.82,2.42,1.71,1.29,0.47,1.02,1.90,-0.35,0.55,0.16,1.08,-0.32,0.91,0.71,0.91,-0.09,0.00,0.56,-0.32
1.63,0.79,3.50,2.29,0.54,1.53,1.87,1.64,1.41,2.58,1.80,2.00,-0.42,1.89,1.60,-0.09,0.76,0.33,1.41,0.28,1.41,0.81,0.09,-0.06,0.56,0.00,-0.08
0.36,1.01,1.70,0.67,1.42,1.07,1.24,1.43,0.82,2.37,1.21,0.57,-0.49,1.07,1.89,0.34,0.08,0.38,0.12,-0.54,1.58,1.73,0.53,-0.14,-0.32,-0.08,0.00
